datum;pegel;wasserstand
2020-03-02 03:21:52;Eitze;534
2020-03-02 04:22:00;Grafhorst;95 
2020-03-02 04:22:00;Brenneckenbrück;262
2020-03-02 04:22:00;Langlingen;394
2020-03-02 04:22:00;Celle;334
2020-03-02 04:22:00;Marklendorf;276
2020-03-02 04:22:00;Ahlden;371
2020-03-02 04:22:00;Rethem;390
2020-03-02 04:22:00;Eitze;533
2020-03-02 05:22:05;Grafhorst;95 
2020-03-02 05:22:05;Brenneckenbrück;261
2020-03-02 05:22:05;Langlingen;394
2020-03-02 05:22:05;Celle;334
2020-03-02 05:22:05;Marklendorf;276
2020-03-02 05:22:05;Ahlden;371
2020-03-02 05:22:05;Rethem;390
2020-03-02 05:22:05;Eitze;534
2020-03-02 06:22:10;Grafhorst;94 
2020-03-02 06:22:10;Brenneckenbrück;261
2020-03-02 06:22:10;Langlingen;394
2020-03-02 06:22:10;Celle;333
2020-03-02 06:22:10;Marklendorf;276
2020-03-02 06:22:10;Ahlden;371
2020-03-02 06:22:10;Rethem;390
2020-03-02 06:22:10;Eitze;533
2020-03-02 07:22:18;Grafhorst;94 
2020-03-02 07:22:18;Brenneckenbrück;261
2020-03-02 07:22:18;Langlingen;394
2020-03-02 07:22:18;Celle;333
2020-03-02 07:22:18;Marklendorf;276
2020-03-02 07:22:18;Ahlden;371
2020-03-02 07:22:18;Rethem;390
2020-03-02 07:22:18;Eitze;533
2020-03-02 08:22:28;Grafhorst;94 
2020-03-02 08:22:28;Brenneckenbrück;260
2020-03-02 08:22:28;Langlingen;394
2020-03-02 08:22:28;Celle;333
2020-03-02 08:22:28;Marklendorf;276
2020-03-02 08:22:28;Ahlden;371
2020-03-02 08:22:28;Rethem;390
2020-03-02 08:22:28;Eitze;533
2020-03-02 09:22:34;Grafhorst;94 
2020-03-02 09:22:34;Brenneckenbrück;260
2020-03-02 09:22:34;Langlingen;393
2020-03-02 09:22:34;Celle;332
2020-03-02 09:22:34;Marklendorf;276
2020-03-02 09:22:34;Ahlden;370
2020-03-02 09:22:34;Rethem;390
2020-03-02 09:22:34;Eitze;533
2020-03-02 10:22:41;Grafhorst;94 
2020-03-02 10:22:41;Brenneckenbrück;260
2020-03-02 10:22:41;Langlingen;393
2020-03-02 10:22:41;Celle;332
2020-03-02 10:22:41;Marklendorf;276
2020-03-02 10:22:41;Ahlden;370
2020-03-02 10:22:41;Rethem;390
2020-03-02 10:22:41;Eitze;533
2020-03-02 11:22:50;Grafhorst;94 
2020-03-02 11:22:50;Brenneckenbrück;259
2020-03-02 11:22:50;Langlingen;393
2020-03-02 11:22:50;Celle;331
2020-03-02 11:22:50;Marklendorf;276
2020-03-02 11:22:50;Ahlden;370
2020-03-02 11:22:50;Rethem;390
2020-03-02 11:22:50;Eitze;532
2020-03-02 12:22:59;Grafhorst;94 
2020-03-02 12:22:59;Brenneckenbrück;259
2020-03-02 12:22:59;Langlingen;393
2020-03-02 12:22:59;Celle;331
2020-03-02 12:22:59;Marklendorf;276
2020-03-02 12:22:59;Ahlden;370
2020-03-02 12:22:59;Rethem;390
2020-03-02 12:22:59;Eitze;532
2020-03-02 13:23:04;Grafhorst;94 
2020-03-02 13:23:04;Brenneckenbrück;259
2020-03-02 13:23:04;Langlingen;394
2020-03-02 13:23:04;Celle;330
2020-03-02 13:23:04;Marklendorf;276
2020-03-02 13:23:04;Ahlden;370
2020-03-02 13:23:04;Rethem;390
2020-03-02 13:23:04;Eitze;532
2020-03-02 14:23:12;Grafhorst;94 
2020-03-02 14:23:12;Brenneckenbrück;259
2020-03-02 14:23:12;Langlingen;394
2020-03-02 14:23:12;Celle;330
2020-03-02 14:23:12;Marklendorf;276
2020-03-02 14:23:12;Ahlden;Kei
2020-03-02 14:23:12;Rethem;390
2020-03-02 14:23:12;Eitze;532
2020-03-02 15:23:21;Grafhorst;94 
2020-03-02 15:23:21;Brenneckenbrück;258
2020-03-02 15:23:21;Langlingen;394
2020-03-02 15:23:21;Celle;329
2020-03-02 15:23:21;Marklendorf;276
