['62 ', '152', '358', '180', '138', '132', '168', '320']
['62 ', '152', '354', '179', '137', '132', '168', '319']
['62 ', '152', '353', '179', '138', '132', '167', '319']
['62 ', '152', '351', '179', '138', '132', '167', '319']
['62 ', '153', '353', '178', '138', '132', '167', '319']
['62 ', '153', '358', '171', '142', '132', '166', '318']
['62 ', '154', '358', '165', '137', '132', '166', '318']
['62 ', '154', '359', '159', '138', '132', '166', '318']
['62 ', '155', '359', '159', '136', '132', '166', '318']
['62 ', '155', '358', '163', '136', '132', '166', '318']
['62 ', '155', '359', '168', '136', '131', '165', '318']
['62 ', '155', '359', '170', '132', '131', '165', '316']
['62 ', '155', '358', '171', '131', '131', '165', '317']
['62 ', '155', '358', '172', '129', '130', '165', '317']
['61 ', '155', '359', '172', '129', '130', '165', '317']
['61 ', '155', '361', '172', '130', '129', '165', '316']
['61 ', '154', '361', '172', '130', '129', '165', '316']
['61 ', '153', '360', '173', '129', '128', '164', '315']
['61 ', '152', '359', '174', '132', '128', '164', '316']
['61 ', '152', '358', '176', '131', '128', '164', '316']
['61 ', '152', '357', '179', '132', '128', '163', '316']
['61 ', '152', '357', '181', '132', '127', '163', '316']
['61 ', '151', '357', '182', '132', '126', '162', '316']
['61 ', '149', '356', '182', '135', '124', '162', '315']
['61 ', '148', '357', '182', '135', '124', '162', '315']
['61 ', '147', '356', '181', '137', '124', '161', '315']
['61 ', '147', '355', '181', '138', '123', '160', '314']
['61 ', '146', '355', '180', '140', '123', '159', '314']
['61 ', '146', '355', '180', '143', '123', '159', '314']
['61 ', '145', '354', '180', '143', '123', '159', '314']
['61 ', '145', '355', '179', '142', '123', '158', '313']
['61 ', '144', '355', '178', '143', '124', '158', '312']
['61 ', '144', '356', '178', '143', '124', '158', '312']
['61 ', '144', '356', '176', '144', '124', '158', '311']
['61 ', '145', '355', '173', '144', '124', '157', '311']
['61 ', '145', '355', '172', '144', '124', '157', '311']
['61 ', '145', '355', '171', '144', '124', '157', '311']
['61 ', '145', '354', '171', '144', '124', '157', '311']
['61 ', '145', '354', '171', '144', '123', '157', '310']
['61 ', '145', '355', '172', '141', '124', '157', '310']
['61 ', '145', '356', '171', '141', '123', '157', '310']
['61 ', '145', '355', '172', '138', '123', '157', '308']
['61 ', '145', '356', '172', '139', '123', '157', '309']
['61 ', '145', '356', '171', '140', '123', '157', '309']
['61 ', '146', '355', '170', '139', '123', '157', '309']
['61 ', '146', '353', '170', '137', '123', '157', '309']
['61 ', '146', '353', '170', '140', '122', '157', '309']
['61 ', '146', '353', '169', '138', '122', '156', '309']
['61 ', '145', '356', '168', '138', '122', '156', '309']
['61 ', '145', '359', '164', '137', '121', '156', '309']
['61 ', '147', '358', '162', '137', '121', '156', '309']
['61 ', '148', '358', '160', '136', '121', '156', '309']
['61 ', '148', '358', '161', '136', '121', '156', '308']
['61 ', '148', '358', '165', '134', '121', '155', '308']
['60 ', '147', '357', '168', '132', '120', '155', '308']
['60 ', '146', '357', '170', '131', '120', '155', '308']
['60 ', '145', '357', '171', '131', '120', '154', '308']
['60 ', '145', '357', '171', '130', '120', '154', '308']
